id_candidate,no_trial,count_image,no_question,question,ans_candidate,good_ans,result,reaction_time,time_stamp
PIC_SER_052,11,1,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,2.28,440.22
PIC_SER_052,11,1,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,0,6,0,0.94,441.22
PIC_SER_052,11,2,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.45,450.86
PIC_SER_052,11,2,1,Avez-vous vu des tâches de peinture sur le véhicule ? ,6,6,1,2.43,453.33
PIC_SER_052,11,2,2,Avez-vous vu des pots de peinture sur le capot du véhicule ? ,6,6,1,3.81,457.2
PIC_SER_052,12,1,0,Combien y a-t-il de personnages sur cette photo ? ,0,0,1,2.15,463.44
PIC_SER_052,13,1,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,2.1,476.56
PIC_SER_052,13,1,1,La pièce est-elle rangée ? ,0,0,1,2.44,479.05
PIC_SER_052,13,1,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,3.64,482.73
PIC_SER_052,13,1,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,0,6,0,8.92,491.69
PIC_SER_052,13,2,0,Combien y a-t-il de personnages sur cette photo ? ,6,6,1,3.03,504.78
PIC_SER_052,13,2,1,La pièce est-elle rangée ? ,0,0,1,1.41,506.23
PIC_SER_052,13,2,2,Combien y a-t-il de posters sur les murs ? ,0,0,1,3.57,509.85
PIC_SER_052,13,2,3,Avez-vous remarqué des vêtements qui ne sont pas pliés ? ,6,6,1,1.7,511.59
PIC_SER_052,14,1,0,Avez-vous vu des mouchoirs usagés ? ,6,6,1,6.88,528.27
PIC_SER_052,14,1,1,Avez-vous vu une éponge ?,6,6,1,2.07,530.4
PIC_SER_052,14,1,2,Avez-vous vu des serviettes usagées ?,6,6,1,2.24,532.68
PIC_SER_052,14,1,3,Les rebords de la fenêtre sont-ils propres ? ,0,0,1,3.44,536.16
PIC_SER_052,14,2,0,Avez-vous vu des mouchoirs usagés ? ,6,6,1,2.4,548.79
PIC_SER_052,14,2,1,Avez-vous vu une éponge ?,6,6,1,1.87,550.71
PIC_SER_052,14,2,2,Avez-vous vu des serviettes usagées ?,6,6,1,5.58,556.34
PIC_SER_052,14,2,3,Les rebords de la fenêtre sont-ils propres ? ,0,0,1,1.8,558.19
